Quantity,Value
Estimated Period,1.0
Peak Phase,0.51
Peak Flux,0.9394250363931068
Peak Prominence,1.0187498060562803
Pulse Width (phase),0.08483267923239393
Pulse Duration (s),0.08483267923239393
Baseline,-0.007707797579512867
Noise Std,0.051362180175335996
Signal Amplitude,0.9471328339726197
SNR,18.440277082074306
