run,estimated_period,peak_phase,peak_flux,peak_prominence,pulse_width_phase,pulse_duration,baseline,noise_std,signal_amplitude,snr,success
1,1.0,0.51,0.9451068839203488,0.9581001757570402,0.07842958691127093,0.07842958691127093,0.010280619588136478,0.04255470044013096,0.9348262643322123,21.967638231818686,True
2,1.0,0.49,0.9385436453772932,0.9514628192153545,0.07885933215730388,0.07885933215730388,0.008875003607433887,0.04156572326658583,0.9296686417698593,22.366232768460172,True
3,1.0,0.49,0.9435603669565453,0.9528319668893382,0.07791566872122528,0.07791566872122528,0.01021838163930727,0.04039107049840866,0.9333419853172381,23.10763180574801,True
4,1.0,0.51,0.9350501091011832,0.9454213346606696,0.07866709558877726,0.07866709558877726,0.008167939409248957,0.04192668326907588,0.9268821696919343,22.107214246913266,True
5,1.0,0.49,0.9363931842319494,0.9494692536157536,0.07850903234684166,0.07850903234684166,0.009505859445964791,0.041313816903408955,0.9268873247859846,22.435286648847583,True
6,1.0,0.51,0.9258356632740853,0.9388032830472255,0.07914038152457556,0.07914038152457556,0.010738117401191245,0.041622507002160594,0.915097545872894,21.98564218693968,True
7,1.0,0.49,0.9312165969663249,0.9431626234058442,0.07914133796965649,0.07914133796965649,0.008679788056831847,0.04118282546216598,0.922536808909493,22.401008152221443,True
8,1.0,0.51,0.9363059364835232,0.9458227246854648,0.07769818045144997,0.07769818045144997,0.009735345590737916,0.04207635415224598,0.9265705908927853,22.021171024945517,True
9,1.0,0.49,0.9282953336458284,0.9387236903314101,0.07830265989471123,0.07830265989471123,0.011668724550882383,0.04125869568587323,0.916626609094946,22.216567776978813,True
10,1.0,0.51,0.9372288752917144,0.9451061794420994,0.07739527126359459,0.07739527126359459,0.010147083590727328,0.04063654287221023,0.927081791700987,22.813992681817986,True
11,1.0,0.51,0.9305090932131785,0.9404949261627521,0.078537697038776,0.078537697038776,0.008983771868533507,0.042127591882404045,0.921525321344645,21.874626110056624,True
12,1.0,0.51,0.9259869714936921,0.9379515927852305,0.07891453966060832,0.07891453966060832,0.01004269187034115,0.041787964917118454,0.915944279623351,21.918853465106988,True
13,1.0,0.49,0.938307632019732,0.9521377627961058,0.07811283979502104,0.07811283979502104,0.009291259007053113,0.04225792802333528,0.9290163730126789,21.984427927930263,True
14,1.0,0.51,0.9346338842159704,0.9474136119942252,0.07945903402223298,0.07945903402223298,0.00951037407119051,0.04367414997568718,0.9251235101447799,21.18240448090653,True
15,1.0,0.51,0.9275794886242261,0.9382233542643089,0.07917174808342495,0.07917174808342495,0.009830910451834717,0.041929561852599585,0.9177485781723914,21.887864733685312,True
16,1.0,0.49,0.9372127092774543,0.9495919058857775,0.07795680853657341,0.07795680853657341,0.008419497117169389,0.04001672040953934,0.9287932121602849,23.21012823276931,True
17,1.0,0.49,0.9419794372862355,0.9520795583761309,0.07803324806971873,0.07803324806971873,0.009583301142344295,0.04307809102538227,0.9323961361438912,21.64432345886704,True
18,1.0,0.49,0.9401197570343293,0.9496659482831044,0.07791981845263564,0.07791981845263564,0.009411700428957778,0.04236406237417406,0.9307080566053715,21.969282558056776,True
19,1.0,0.49,0.9308203684109116,0.9420386038411809,0.07916018046535474,0.07916018046535474,0.00905352005584615,0.04215905880834203,0.9217668483550655,21.86402814506559,True
20,1.0,0.51,0.924228501951196,0.937348155057889,0.07916841391786991,0.07916841391786991,0.010287758699468746,0.04144815418977822,0.9139407432517273,22.050215772385823,True
21,1.0,0.49,0.9393307533232563,0.9506894016434027,0.07858498461639041,0.07858498461639041,0.010558597996842925,0.04221066335668462,0.9287721553264134,22.003258927209682,True
22,1.0,0.51,0.9393547044919902,0.9482908258618515,0.07727404197427612,0.07727404197427612,0.009921538031604747,0.04086157950391974,0.9294331664603854,22.745894254313576,True
23,1.0,0.49,0.928389548009652,0.9391073056861667,0.07898126685800978,0.07898126685800978,0.009452197026143411,0.04130252977658274,0.9189373509835086,22.248936226286986,True
24,1.0,0.51,0.9354355193282435,0.9418144079219422,0.07834342027980307,0.07834342027980307,0.010184326554893737,0.04264907385716313,0.9252511927733498,21.69452016407501,True
25,1.0,0.51,0.9371553817109388,0.9500186176178967,0.07786407898789857,0.07786407898789857,0.010415498226560616,0.0406834645206912,0.9267398834843782,22.779276406340657,True
26,1.0,0.49,0.9414755625732447,0.9492414252314081,0.07768641282844604,0.07768641282844604,0.009245773244698033,0.041436802817285484,0.9322297893285467,22.497628338730426,True
27,1.0,0.49,0.9331809111460108,0.9459896482313145,0.07795224548312679,0.07795224548312679,0.008969182540066482,0.04168831725778655,0.9242117286059442,22.169561867679363,True
